holderAddress,balance
0xE2546b144eFc3F8bd85d84b6CA64cC4F033c9be1,84847467999496380
0x604e898636E3Dfb5075dd1c10DC7d93C80804CF9,0
0x69a8b12357b85b043d14CA761407102d22Dd883E,0
0xd72d039B28D9cb16B9284771b9d2BAd26b5cE21C,4
0xdcC3B002b5C2A10A0C30D15f6D8e9fcc436A383A,2
0xC443D816a011D720DC8f3dD69390B16554ff2A3B,3
0x2Cc6f0771571c14629a03088eb998Af75bF3082d,3
0xEBE2aCa35088682DB08149E296281118FF6026D7,7
0x2eCC650E73D984DB98c2d239108D2931BdAB7028,0
0x303a706C89ED12C493a81bFa2a7F380088bcA9e6,0
0xd68c696B4540E379126219C8ff900F237acfAb71,0
0x08Bf8D6fA77F7Bc937E62DCb7a5d1201890C48fA,0
0xc1165124be8DC53A3826A1AA1B6643e9138d167C,0
0xc47407649bf1C2Dd948eE4E39EF5AE3af983D2AC,12
0x5AeDd3fbA919c0B8Be8486F48A24300eEa7B5C58,0
0x2ABEef34Db660dd98F25983807A9B5f14821D103,2
0x58745fA64DF8052da6678d4e1a11840979F11622,4
0x5181Cdf1bB20dA04bA788F82989F29E65B67314A,9
0x30d22f0A438911a186Deb5C82f7EC23162054D42,0
0xe6181bDb6e75ccCa82D2e7C105F26DC67090099a,2
0x982652447F2bA11E33558AD53BDa7fb38f33b520,9
0xE02A25580b96BE0B9986181Fd0b4CF2b9FD75Ec2,0
0x43861a0833e819b6eA89532ac67Eb8eF1d4bf3da,0
0x76CfabC8a6366fe7a53778867EF05a61De5cc732,1
0x0F0f22842625dBbe3281b81f30b659621197eC1b,8
0x31A2B7adc469C1C02c294EFEE837c350C7A922b8,0
0x574bF8b0a1c0ea8fd152d5c2cc608DdCD513Bf4D,4
0xc9be9069F1fD43b82145Fa8709050D52d803E81a,14
0x6B216b60b34dbfDFAb5Abb9667739B07006AC8db,0
0x72446b0466B946C9b2B7969dab5aD4A78162C2Eb,2
0x0e9f8DEA2c6a7C28653993c8248F9d45B82b28b4,0
0x3f95a0D7b6d5ed0b81eD85C7B1fBF0Ad776c2416,7
0x5d433b73eD2898E00E129eE87621af184Bc00259,1
0x38614DF75973539E26C3d7F524fE61a49A965f9e,4
0x90081dB402e7386C58C1f184f73Fb924e113F122,2
0xF986678318FcCF839F4b1Fa3A522C84234FC4495,9
0x9De8E4AFC587a8ce091C04640987C6a3aabD934A,6
0x22a8490d883Ca52e22d916F7f6E4A33374aD356D,6
0x5EaDE2eC8962F6A7b44cb047FC2f99d96A782C8C,0
0x6908Cc437c8BEA5c19A81e487A1528635EC2b197,0
0x819884634b84B3F9B71abde27AD1C599D8327176,0
0x683028Fc63477B8A702CFE7475865952d3E8ac09,0
0x685Da7FBD31eBf68F7b6F42582D83e12a2688D8f,0
0xC1A537b51db8D328e9DE79dDaf45DDaf5A7E0D7B,14
0xEC948f0a29cE77412773412D076fBBABa1e67491,0
0x3A45468c2B85A969Ab3999f9b286da9bab226709,5
0x231c683D57DA6B569A03ad19c96d70E252fA1aE2,0
0xD028BaBBdC15949aAA35587f95F9E96c7d49417D,0
0x88E07a0457aA113AB910103d9a01217315DA1C98,0
0x6b4D8F3e385eF39b08859b8c50b31093c5387884,9
0xA9d9420d3376E7ecc868ac4BB23527d7ebC4f395,8
0x80379dA35aC599A59121991B00EcCEa355e67AEa,4
0x3a4b7FE51D705368EdA9a2AD2E2329C05ACE381F,2
0xeb6f15A7DD70924F1c082e37014669aC0E0FA864,31263210153
0x18D072a783FaE1AC81Af576276DC1561cfba1013,0
0xC124BC8dd4D89a3AE6b1EE6b82cA40ec5A426C46,0
0x674c3b366e5AeFcF67bCb4D96D9CA1BC95db8937,3
0x283125B8DBa28469eEb4bAE5E1AcFE44Df9d101a,10
0x078638EC32c69fEa8a702BefF0777686A9315438,1547032427
0xE0221bd78C40773C63b8E83d6dD3e57c7567Eb33,0
0xAB5f9071D325b9B5844D52cD4e55ea6bbaCeB021,5
0x9b04EA8897DfA0a817403ACACcDb24df019c7085,7
0x7832E8979FAd2cdbD9fC3bffC5853873e354267D,5
0x03F7f1aB10e8bA1f6c3B7ea588087Ee12d44Dcc8,0
0x8E4dD80ac6fdeE8343866f622BaCB1B1F88a250b,3
0xF7cb62bf544513BE4D013F742f70d842c48633cF,0
0x533a04903DADe8B86cC01FCb29204d273fc9f9B9,9
0x9e138C3C1249f1627168D02359A4BA82e5f2EBd4,0
0x33F561fe13C230d2C62D964514EFe508ebBC4FE4,1
0xf5dF12a90E6911e9f591cA1d721172aB2A135912,15
0xE1A29Af25dd37d1Ad2dB9Cb47A6536B08Fa6a20F,1
0xa7B3B131293f648031893D99412ceb4FD41f01F6,0
0xdDaC453752D47b531FEB41e841b95305Fd01A41C,0
0xcFc7B27c99Ba0786894C5E4a02F4507d343948D7,11
0x95dAa0B7EF78270d14971fC79A54Bd093a52C7BA,0
0xE4219A27005e1E902a6e62D144FE2A8aE1509081,10
0x88bf5A2E82510847E5dcBF33F44A9F611F1C1dF5,6
0x501C46c0713De985Dfb8b3F06fe68d195c44C725,0
0x609470c2f08FF626078bA64Ceb905d73b155089d,1
0x0c313A5d3f29aeB8a28D66f69b873edC117f2450,12
0x750515f8094c706E36E93b317C4744581c37583a,0
0x7059ca50A39B0119F8D0EeCBA04809685974a3EA,8
0xAFF4c77DF3bBe7f980b85C4777cf9Fa3DdfB4Ad9,0
0x475b6ff6603F17177B7E419d1aD2791fb82a3a56,0
0xB31E8BFE7FB9770889db83B46497AfAC7056EC39,5
0xD5C6dfd4A1e4Cf1c02EEd242A21908a5F881B32b,0
0x544845005e42fE00a3C0E9735EEEC25Aa068b428,7
0x25165a9ca2ce8e3e62443275D114B618dC53E9f2,3
0xe12D731750E222eC53b001E00d978901B134CFC9,0
0x12E16Dc6C7Ad5c9E10CA14109cDf4A46da290580,0
0x265e3a88b03cbBDE346A3Fe9B46A7E092B410174,0
0xe0B03Fc5365677ba0A438811d84600051cBb1abD,0
0xCe2518103E0c766DF3002D3060258e6FDb1C480a,0
0xd6Fd705EE0B31a9300D3E2154bccE777270CBb6f,0
0x750C3410aD82B235150E3E43AC70b1004e1E14c7,10
0x9831D298759Aa5D74ED220Da74d6B695859eEfAD,3
0xCc5d965bDe3f11b9B6977d72F5FCbA3de7acB960,0
0xe81454873F53dBFc14D4Cb924046fD223AF72055,0
0xA3a21aB1339E84Ec739fAe58325d87a3a609365f,9
0xDb8aA7376b32973A72A0a1AD5EAcBd3826EC9265,8
0xc45D05CDc809d20c7B14959E8cd4a1199E3e966F,0
0xfF983307058dA622633CFCD2caCE59A90532228c,0
0x51175c854CbB8EF620B31cD571a12283b2E7899c,0
0xF3863a31c14721aFBE0DE7638075F8ae7D5A9bc8,1
